kind,path,detail,impact
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_100_lr002,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_100_lr005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_100_lr005,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_100_lr005_dense10,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_100_lr005_dense10,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_50_lr005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_50_lr005,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_80_lr003_dense10,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_80_lr003_dense10,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_80_lr004_dense10,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_caption_ft_80_lr004_dense10,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_grid_reselect_strict_nearest,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_ultrashort_grid_reselect_strict_nearest,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_wcsg_card_final,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_wcsg_card_final,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_weak_pd05_lm003_ls0005_noreweight,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_weak_pd05_lm003_ls0005_noreweight,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_weak_pd08_lm001_ls001_noreweight,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_weak_pd08_lm001_ls001_noreweight,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_weak_pd08_lm003_ls001_noreweight,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_weak_pd08_lm003_ls001_noreweight,git_info.txt not found,medium
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr1e4_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr1e4_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr1e4_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr2e4_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr2e4_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd05_lr2e4_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd07_lr1e4_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd07_lr1e4_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_mci_pd07_lr1e4_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_scratch_pd05_lr2e4_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_scratch_pd05_lr2e4_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/mci_transfer_crossattn_matrix/second_cc_scratch_pd05_lr2e4_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_levir_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_levir_cc_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_levir_cc_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_levir_mci_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_levir_mci_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/card/card_second_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_levir_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_levir_cc_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_levir_cc_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_levir_mci_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_levir_mci_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/paired_card_rsaca_whole_gate_v1/rsaca/rsaca_second_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/reliability_sparse_rsaca_v1_levir_cc_new_masks_matched_control/unified_rsaca_levir_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/reliability_sparse_rsaca_v1_whole_gate/unified_rsaca_levir_cc_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_7_5_val_pareto_locked,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_7_5_val_pareto_locked,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_7_6_stable_locked,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_card_rgb_baseline,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345,git_info.txt not found,medium
checkpoint_mismatch,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_change_result.json,selection and tested checkpoint paths differ,critical
missing_score_result,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_change_result.json,result_json/prediction artifact not accessible,high
checkpoint_mismatch,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_no-change_result.json,selection and tested checkpoint paths differ,critical
missing_score_result,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_no-change_result.json,result_json/prediction artifact not accessible,high
checkpoint_mismatch,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_overall_result.json,selection and tested checkpoint paths differ,critical
missing_score_result,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_overall_result.json,result_json/prediction artifact not accessible,high
checkpoint_mismatch,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_paper_best_result.json,selection and tested checkpoint paths differ,critical
missing_score_result,experiments/second_cc_card_rgb_baseline_legacy_noncanonical_20260729_094345/test_paper_best_result.json,result_json/prediction artifact not accessible,high
missing_training_commit_evidence,experiments/second_cc_card_semantic_crossattn,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_lsem0000_pdgrid_reselect_balanced,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_lsem0000_pdgrid_reselect_balanced,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd00_lsem0000,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd00_lsem0000,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd05_lsem0000,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd05_lsem0000,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd05_lsem0005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd05_lsem0005,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd05_lsem001,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd05_lsem001,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd07_lsem0000,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd07_lsem0000,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_gamma005_lsem0005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_gamma005_lsem0005,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0000,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0000,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0000_reselect_balanced,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0000_reselect_balanced,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0000_reselect_bestcider,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0000_reselect_bestcider,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0000_reselect_spiceconstrained,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0000_reselect_spiceconstrained,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0001,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0001,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem0005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem0005,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd08_lsem001,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd08_lsem001,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd09_lsem0000,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd09_lsem0000,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_crossattn_pd09_lsem0005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_crossattn_pd09_lsem0005,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_mci_init_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_mci_init_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_mci_init_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_mci_pd05_locked_lr2e4_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_mci_pd05_locked_lr2e4_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_mci_pd05_locked_lr2e4_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/second_cc_pd08_gamma005_ft_100_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_pd08_gamma005_ft_100_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_pd08_gamma010_ft_100_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_pd08_gamma010_ft_100_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/second_cc_wcsg_card_final,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/second_cc_wcsg_card_final,git_info.txt not found,medium
missing_selection_record,experiments/sgc_card_lm003_ls005_pd05_rw02_warmup,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/sgc_card_lm003_ls005_pd05_rw02_warmup,git_info.txt not found,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/levir_mci/test_change_result.json,same checkpoint and scorer-result path as eval-c7d2816a2f785f7f,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/levir_mci/test_nochange_result.json,same checkpoint and scorer-result path as eval-c7d2816a2f785f7f,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/levir_mci/test_overall_result.json,same checkpoint and scorer-result path as eval-c7d2816a2f785f7f,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/second_cc/test_change_result.json,same checkpoint and scorer-result path as eval-78058bb871abf3e1,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/second_cc/test_nochange_result.json,same checkpoint and scorer-result path as eval-78058bb871abf3e1,medium
duplicate_or_nonindependent_evaluation,experiments/card_baseline_locked_tests/second_cc/test_overall_result.json,same checkpoint and scorer-result path as eval-78058bb871abf3e1,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_7_5_val_pareto_locked/test_change_result.json,same checkpoint and scorer-result path as eval-0ae3b7b3980a85ac,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_7_5_val_pareto_locked/test_nochange_result.json,same checkpoint and scorer-result path as eval-0ae3b7b3980a85ac,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_7_5_val_pareto_locked/test_overall_result.json,same checkpoint and scorer-result path as eval-0ae3b7b3980a85ac,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_caption_finetune_from_weak_best/test_nochange_result.json,same checkpoint and scorer-result path as eval-cde46995ed0c60f9,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_caption_finetune_from_weak_best/test_overall_result.json,same checkpoint and scorer-result path as eval-cde46995ed0c60f9,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_caption_finetune_from_weak_best/test_paper_best_result.json,same checkpoint and scorer-result path as eval-cde46995ed0c60f9,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_card_mask_semantic/test_no-change_result.json,same checkpoint and scorer-result path as eval-1f59ad3d5cf9c9ee,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_card_mask_semantic/test_overall_result.json,same checkpoint and scorer-result path as eval-1f59ad3d5cf9c9ee,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_card_mask_semantic/test_paper_best_result.json,same checkpoint and scorer-result path as eval-1f59ad3d5cf9c9ee,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed1111_7_6_val_locked/test_change_result.json,same checkpoint and scorer-result path as eval-bec0a96d7d753150,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed1111_7_6_val_locked/test_nochange_result.json,same checkpoint and scorer-result path as eval-bec0a96d7d753150,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed1111_7_6_val_locked/test_overall_result.json,same checkpoint and scorer-result path as eval-bec0a96d7d753150,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed2222_7_6_val_locked/test_change_result.json,same checkpoint and scorer-result path as eval-565b55a9b8cc87af,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed2222_7_6_val_locked/test_nochange_result.json,same checkpoint and scorer-result path as eval-565b55a9b8cc87af,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed2222_7_6_val_locked/test_overall_result.json,same checkpoint and scorer-result path as eval-565b55a9b8cc87af,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed3333_7_6_val_locked/test_change_result.json,same checkpoint and scorer-result path as eval-cdea39c82f3ea685,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed3333_7_6_val_locked/test_nochange_result.json,same checkpoint and scorer-result path as eval-cdea39c82f3ea685,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_masksemantic_repro_seed3333_7_6_val_locked/test_overall_result.json,same checkpoint and scorer-result path as eval-cdea39c82f3ea685,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_1000_lr01/test_nochange_result.json,same checkpoint and scorer-result path as eval-07dfd8845c43334a,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_1000_lr01/test_overall_result.json,same checkpoint and scorer-result path as eval-07dfd8845c43334a,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_1000_lr01/test_paper_best_result.json,same checkpoint and scorer-result path as eval-07dfd8845c43334a,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_500_lr01/test_nochange_result.json,same checkpoint and scorer-result path as eval-012d58a205aac51b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_500_lr01/test_overall_result.json,same checkpoint and scorer-result path as eval-012d58a205aac51b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_caption_ft_500_lr01/test_paper_best_result.json,same checkpoint and scorer-result path as eval-012d58a205aac51b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_ft_keep_mask0005/test_nochange_result.json,same checkpoint and scorer-result path as eval-969a50f765379a7b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_ft_keep_mask0005/test_overall_result.json,same checkpoint and scorer-result path as eval-969a50f765379a7b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_short_ft_keep_mask0005/test_paper_best_result.json,same checkpoint and scorer-result path as eval-969a50f765379a7b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr002/test_nochange_result.json,same checkpoint and scorer-result path as eval-08b230c4c4e61c89,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr002/test_overall_result.json,same checkpoint and scorer-result path as eval-08b230c4c4e61c89,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr002/test_paper_best_result.json,same checkpoint and scorer-result path as eval-08b230c4c4e61c89,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005/test_nochange_result.json,same checkpoint and scorer-result path as eval-8aa664ba34ca957b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005/test_overall_result.json,same checkpoint and scorer-result path as eval-8aa664ba34ca957b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005/test_paper_best_result.json,same checkpoint and scorer-result path as eval-8aa664ba34ca957b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005_dense10/test_nochange_result.json,same checkpoint and scorer-result path as eval-52bdef3746c0f392,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005_dense10/test_overall_result.json,same checkpoint and scorer-result path as eval-52bdef3746c0f392,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_100_lr005_dense10/test_paper_best_result.json,same checkpoint and scorer-result path as eval-52bdef3746c0f392,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_50_lr005/test_nochange_result.json,same checkpoint and scorer-result path as eval-3c12607ff873ee1b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_50_lr005/test_overall_result.json,same checkpoint and scorer-result path as eval-3c12607ff873ee1b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_50_lr005/test_paper_best_result.json,same checkpoint and scorer-result path as eval-3c12607ff873ee1b,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr003_dense10/test_nochange_result.json,same checkpoint and scorer-result path as eval-9ed2d4ecfbc8c814,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr003_dense10/test_overall_result.json,same checkpoint and scorer-result path as eval-9ed2d4ecfbc8c814,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr003_dense10/test_paper_best_result.json,same checkpoint and scorer-result path as eval-9ed2d4ecfbc8c814,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr004_dense10/test_nochange_result.json,same checkpoint and scorer-result path as eval-b05a640cda9e0442,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr004_dense10/test_overall_result.json,same checkpoint and scorer-result path as eval-b05a640cda9e0442,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_caption_ft_80_lr004_dense10/test_paper_best_result.json,same checkpoint and scorer-result path as eval-b05a640cda9e0442,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_grid_reselect_strict_nearest/test_nochange_result.json,same checkpoint and scorer-result path as eval-67112f34d524e923,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_grid_reselect_strict_nearest/test_overall_result.json,same checkpoint and scorer-result path as eval-67112f34d524e923,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_ultrashort_grid_reselect_strict_nearest/test_paper_best_result.json,same checkpoint and scorer-result path as eval-67112f34d524e923,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_weak_pd05_lm003_ls0005_noreweight/test_nochange_result.json,same checkpoint and scorer-result path as eval-f964ba76d88c2b61,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_weak_pd05_lm003_ls0005_noreweight/test_overall_result.json,same checkpoint and scorer-result path as eval-f964ba76d88c2b61,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_weak_pd05_lm003_ls0005_noreweight/test_paper_best_result.json,same checkpoint and scorer-result path as eval-f964ba76d88c2b61,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_weak_pd08_lm001_ls001_noreweight/test_nochange_result.json,same checkpoint and scorer-result path as eval-62d5fce7240eda4d,medium
duplicate_or_nonindependent_evaluation,experiments/levir_mci_weak_pd08_lm001_ls001_noreweight/test_overall_result.json,same checkpoint and scorer-result path as eval-62d5fce7240eda4d,medium
